activity,status,start,end,duration,normal_duration,min_duration,crash_days,crash_cost_per_day,crash_cost
2,not_started,0,2,2,3,2,1,288.0,288.0
8,not_started,2,3,1,1,1,0,24.0,0.0
18,not_started,2,4,2,2,1,0,104.0,0.0
19,not_started,2,4,2,2,1,0,104.0,0.0
3,not_started,2,4,2,2,1,0,200.0,0.0
6,not_started,2,6,4,4,2,0,272.0,0.0
10,not_started,3,8,5,10,5,5,680.0,3400.0
20,not_started,4,7,3,3,2,0,211.2,0.0
21,not_started,7,9,2,3,2,1,156.0,156.0
16,not_started,8,68,60,60,30,0,3840.0,0.0
22,not_started,9,10,1,2,1,1,116.8,116.8
24,not_started,10,12,2,3,2,1,168.0,168.0
25,not_started,12,13,1,2,1,1,112.0,112.0
26,not_started,13,18,5,5,3,0,280.0,0.0
27,not_started,18,28,10,10,5,0,560.0,0.0
28,not_started,18,28,10,10,5,0,520.0,0.0
29,not_started,28,38,10,10,5,0,560.0,0.0
30,not_started,38,43,5,5,3,0,260.0,0.0
32,not_started,43,53,10,10,5,0,280.0,0.0
33,not_started,47,49,2,2,1,0,112.0,0.0
7,not_started,48,58,10,10,5,0,680.0,0.0
35,not_started,49,53,4,4,2,0,416.0,0.0
34,not_started,53,55,2,4,2,2,176.0,352.0
36,not_started,53,57,4,4,2,0,176.0,0.0
37,not_started,55,57,2,4,2,2,176.0,352.0
39,not_started,57,58,1,1,1,0,48.0,0.0
38,not_started,57,62,5,5,3,0,240.0,0.0
40,not_started,58,65,7,7,4,0,16.8,0.0
13,not_started,58,68,10,10,5,0,640.0,0.0
14,not_started,58,68,10,10,5,0,640.0,0.0
15,not_started,58,68,10,10,5,0,640.0,0.0
12,not_started,60,70,10,10,5,0,720.0,0.0
4,not_started,62,64,2,2,1,0,166.0,0.0
41,not_started,62,66,4,7,4,3,16.8,50.4
42,not_started,65,66,1,1,1,0,2.4,0.0
43,not_started,66,68,2,3,2,1,72.0,72.0
44,not_started,66,69,3,3,2,0,192.0,0.0
47,not_started,68,73,5,10,5,5,600.0,3000.0
45,not_started,69,70,1,1,1,0,48.0,0.0
48,not_started,73,78,5,10,5,5,600.0,3000.0
55,not_started,73,78,5,5,3,0,211.2,0.0
49,not_started,73,83,10,10,5,0,450.0,0.0
50,not_started,78,83,5,10,5,5,450.0,2250.0
51,not_started,83,88,5,10,5,5,300.0,1500.0
80,not_started,83,103,20,20,10,0,880.0,0.0
52,not_started,88,91,3,5,3,2,60.0,120.0
54,not_started,91,94,3,5,3,2,244.0,488.0
56,not_started,94,96,2,4,2,2,192.0,384.0
57,not_started,96,100,4,7,4,3,16.8,50.4
58,not_started,100,102,2,2,1,0,48.0,0.0
59,not_started,100,103,3,5,3,2,134.0,268.0
60,not_started,100,103,3,5,3,2,211.2,422.4
69,not_started,102,106,4,4,2,0,176.0,0.0
72,not_started,102,106,4,4,2,0,168.96,0.0
70,not_started,102,107,5,5,3,0,260.0,0.0
71,not_started,102,107,5,5,3,0,260.0,0.0
61,not_started,103,105,2,4,2,2,192.0,384.0
62,not_started,105,109,4,7,4,3,16.8,50.4
73,not_started,107,111,4,4,2,0,192.0,0.0
63,not_started,109,111,2,2,1,0,48.0,0.0
64,not_started,109,112,3,5,3,2,244.0,488.0
65,not_started,109,112,3,5,3,2,211.2,422.4
11,not_started,109,119,10,10,5,0,600.0,0.0
74,not_started,111,118,7,7,4,0,16.8,0.0
66,not_started,112,114,2,4,2,2,192.0,384.0
67,not_started,114,118,4,7,4,3,16.8,50.4
68,not_started,118,119,1,2,1,1,48.0,48.0
75,not_started,118,120,2,2,1,0,48.0,0.0
77,not_started,119,127,8,15,8,7,600.0,4200.0
119,not_started,120,140,20,20,10,0,1040.0,0.0
79,not_started,120,140,20,20,10,0,1040.0,0.0
81,not_started,127,152,25,25,13,0,1100.0,0.0
83,not_started,140,150,10,10,5,0,440.0,0.0
85,not_started,150,155,5,5,3,0,110.0,0.0
82,not_started,152,154,2,2,1,0,88.0,0.0
87,not_started,152,156,4,4,2,0,176.0,0.0
84,not_started,152,157,5,5,3,0,110.0,0.0
96,not_started,152,167,15,15,8,0,600.0,0.0
93,not_started,152,174,22,25,13,3,1000.0,3000.0
115,not_started,157,167,10,10,5,0,520.0,0.0
100,not_started,174,189,15,15,8,0,780.0,0.0
94,not_started,174,193,19,25,13,6,1000.0,6000.0
114,not_started,174,194,20,20,10,0,1040.0,0.0
120,not_started,174,194,20,20,10,0,1040.0,0.0
128,not_started,175,185,10,10,5,0,520.0,0.0
88,not_started,179,181,2,2,1,0,88.0,0.0
89,not_started,181,186,5,5,3,0,220.0,0.0
110,not_started,184,204,20,20,10,0,1280.0,0.0
90,not_started,186,191,5,5,3,0,220.0,0.0
127,not_started,188,208,20,20,10,0,1040.0,0.0
121,not_started,189,204,15,15,8,0,780.0,0.0
132,not_started,193,198,5,5,3,0,220.0,0.0
95,not_started,193,203,10,10,5,0,480.0,0.0
98,not_started,193,203,10,15,8,5,720.0,3600.0
101,not_started,194,209,15,15,8,0,780.0,0.0
116,not_started,194,209,15,15,8,0,780.0,0.0
133,not_started,198,202,4,4,2,0,88.0,0.0
126,not_started,198,208,10,10,5,0,520.0,0.0
99,not_started,203,213,10,20,10,10,720.0,7200.0
111,not_started,204,214,10,10,5,0,640.0,0.0
122,not_started,204,219,15,15,8,0,780.0,0.0
129,not_started,208,223,15,15,8,0,780.0,0.0
102,not_started,209,219,10,10,5,0,400.0,0.0
91,not_started,211,221,10,10,5,0,520.0,0.0
107,not_started,213,223,10,10,5,0,360.0,0.0
117,not_started,213,223,10,10,5,0,520.0,0.0
105,not_started,213,229,16,20,10,4,720.0,2880.0
112,not_started,214,224,10,10,5,0,640.0,0.0
106,not_started,214,229,15,15,8,0,720.0,0.0
103,not_started,219,229,10,10,5,0,400.0,0.0
104,not_started,219,229,10,10,5,0,360.0,0.0
124,not_started,219,229,10,10,5,0,520.0,0.0
123,not_started,221,223,2,2,1,0,104.0,0.0
108,not_started,223,233,10,10,5,0,480.0,0.0
130,not_started,223,243,20,20,10,0,1040.0,0.0
134,not_started,229,231,2,4,2,2,96.0,192.0
135,not_started,231,232,1,1,1,0,68.0,0.0
137,not_started,231,233,2,3,2,1,192.0,192.0
138,not_started,233,234,1,1,1,0,72.0,0.0
139,not_started,234,235,1,1,1,0,72.0,0.0
140,not_started,235,236,1,1,1,0,72.0,0.0
141,not_started,236,241,5,10,5,5,448.8,2244.0
142,not_started,241,242,1,2,1,1,152.0,152.0
143,not_started,241,242,1,1,1,0,76.0,0.0
5,not_started,241,243,2,2,1,0,171.2,0.0
144,not_started,242,243,1,1,1,0,75.24,0.0
